=== lcd-osd1ctl-directfb-watch.sh (mode: no-systemonly) ===
Removing the 'systemonly' QWS_DISPLAY flag (GPU/GAL still on, pool selection unconstrained).
Baseline (before starting DirectFB):
  OSD1_CTL=0x001660FF (format=6 rgb_order=5(stock-encoding) yuv_order=0)
  CONTROL=0x03740081 (OSD1_enabled=1)
  OSD1_ADDR=0x0F000000

Starting start_msn_directfb -- watch the screen, Ctrl-C when done (black screen or not)...
[09:16:15] OSD1_CTL=0x001660FF (format=6 rgb_order=5(stock-encoding) yuv_order=0)
[09:16:15] CONTROL=0x03740081 (OSD1_enabled=1)
[09:16:15] OSD1_ADDR=0x0F000000
[09:16:27] OSD1_ADDR=0x0F177000
[09:16:27] OSD1_ADDR=0x0F000000
[09:16:33] OSD1_ADDR=0x0F177000
[09:16:34] OSD1_ADDR=0x0F000000
[09:16:34] OSD1_ADDR=0x0F177000
[09:16:34] OSD1_ADDR=0x0F000000
[09:16:35] OSD1_ADDR=0x0F177000
[09:16:35] OSD1_ADDR=0x0F000000
[09:16:35] OSD1_ADDR=0x0F177000
[09:16:35] OSD1_ADDR=0x0F000000
[09:16:36] OSD1_ADDR=0x0F177000
[09:16:36] OSD1_ADDR=0x0F000000
[09:16:36] OSD1_ADDR=0x0F177000
[09:16:36] OSD1_ADDR=0x0F000000
[09:16:37] OSD1_ADDR=0x0F177000
[09:16:37] OSD1_ADDR=0x0F000000
[09:16:37] OSD1_ADDR=0x0F177000
[09:16:37] OSD1_ADDR=0x0F000000
[09:16:38] OSD1_ADDR=0x0F177000
[09:16:38] OSD1_ADDR=0x0F000000
[09:16:38] OSD1_ADDR=0x0F177000
[09:16:39] OSD1_ADDR=0x0F000000
[09:16:39] OSD1_ADDR=0x0F177000
[09:16:39] OSD1_ADDR=0x0F000000
[09:16:40] OSD1_ADDR=0x0F177000
[09:16:40] OSD1_ADDR=0x0F000000
[09:16:40] OSD1_ADDR=0x0F177000
[09:16:41] OSD1_ADDR=0x0F000000
[09:16:42] OSD1_ADDR=0x0F177000
[09:16:42] OSD1_ADDR=0x0F000000
[09:16:43] OSD1_ADDR=0x0F177000
[09:16:43] OSD1_ADDR=0x0F000000
[09:16:43] OSD1_ADDR=0x0F177000
[09:16:44] OSD1_ADDR=0x0F000000
[09:16:44] OSD1_ADDR=0x0F177000
[09:16:48] OSD1_ADDR=0x0F000000
