addr	size	name	string_hints
000300c4	272	FUN_000300c4	
000301e4	4	FUN_000301e4	
000301e8	56	FUN_000301e8	
00030220	4	thunk_FUN_000304a8	
00030260	192	FUN_00030260	
00030320	96	FUN_00030320	
00030380	96	FUN_00030380	
000303e0	128	FUN_000303e0	
000304a8	4	FUN_000304a8	
000304ac	16	FUN_000304ac	
000304bc	28	FUN_000304bc	
000304e0	64	FUN_000304e0	
00030528	44	FUN_00030528	
00030564	20	FUN_00030564	
00030578	96	FUN_00030578	
00030644	208	FUN_00030644	
00030714	24	FUN_00030714	
0003072c	4	FUN_0003072c	
00030730	4	FUN_00030730	
00030738	24	FUN_00030738	
00030750	24	FUN_00030750	
00030764	40	FUN_00030764	
000307cc	72	FUN_000307cc	
000307d8	164	FUN_000307d8	s_ERROR:_%s_-_start_address_is_not_00074ef1,s_v7_dcache_inval_range_00074e98,s_ERROR:_%s_-_stop_address_is_not_a_00074f24
00030884	4	FUN_00030884	
00030888	40	FUN_00030888	
00030918	24	FUN_00030918	s_U-Boot_2012.10_(flyound202112301_00071f33,s_%s_00074f56
00030964	120	FUN_00030964	s_fatload_mmc_%d_%x_%s_00074f66,s_fatload_usb_%d_%x_%s_00074f7b,s_cmd=%s_000750c9+0x13
00030a0c	28	FUN_00030a0c	
00030a28	96	FUN_00030a28	
00030a8c	212	FUN_00030a8c	s_arkdata_0007553e+7,s_no_partition_name_arkdata._00074f90,s_%s_size_00074fac,s_nand_read_0x%x_0x%x_0x%x_00074fb4
00031808	16	FUN_00031808	s_###_ERROR_###_Please_RESET_the_b_00075575
0003181c	272	FUN_0003181c	s_fdtcontroladdr_0007559f,s_DRAM:_000755ae,s__0007d8d9+0x17
000319c0	36	FUN_000319c0	
000319e4	44	FUN_000319e4	
00031a1c	80	FUN_00031a1c	s_flyound2021123014_00075672
00031a78	144	FUN_00031a78	
00031b14	328	FUN_00031b14	s_bootargs_00075684
00031c74	88	FUN_00031c74	
00031ccc	60	FUN_00031ccc	s_Bad_Linux_ARM_zImage_magic!_0007568d
00031d6c	24	FUN_00031d6c	
00031d84	84	FUN_00031d84	s_================%s==============_00074ec8+1,s_reset_cpu_00074e8e,s_Resetting_CPU_..._000756aa
00031da0	276	FUN_00031da0	s_pc_:_[<%08lx>]_lr_:_[<%08lx>]_sp_000756c1,s_r10:_%08lx_r9_:_%08lx_r8_:_%08lx_00075706,s_r7_:_%08lx_r6_:_%08lx_r5_:_%08lx_0007572a,s_r3_:_%08lx_r2_:_%08lx_r1_:_%08lx_0007575a
00031edc	12	FUN_00031edc	
00031f24	32	FUN_00031f24	s_prefetch_abort_000757e4
00031f48	32	FUN_00031f48	s_data_abort_000757f4
00031f6c	32	FUN_00031f6c	s_not_used_00075800
00031f90	32	FUN_00031f90	s_fast_interrupt_request_0007580a
00031fd0	48	FUN_00031fd0	
00032004	24	FUN_00032004	
0003201c	24	FUN_0003201c	
00032040	164	FUN_00032040	
000320e4	36	FUN_000320e4	
00032268	196	FUN_00032268	PTR_s_kernel_0003232c,s_kernel_0007542f,PTR_s_%s_size_00032330,s_%s_size_00074fac
00032344	4	FUN_00032344	
00032348	60	FUN_00032348	s_autostart_000759ca,s_Automatic_boot_of_image_at_addr_0_000759d4
000323ac	272	FUN_000323ac	s_Ramdisk_image_is_corrupt_or_inva_00075a35
000324dc	24	FUN_000324dc	
000325f4	492	FUN_000325f4	s_bootfile_00075bf9,s_loadaddr_00075524,s_**_No_boot_file_defined_**_00075c02,s_Loading_file_"%s"_from_%s_device_00075c1e
0003281c	188	FUN_0003281c	s_**_Bad_ext2_partition_or_disk_-_%_00075c47,s_**_Error_extfs_ls()_**_00075c9e
00032e94	60	FUN_00032e94	
00033084	196	FUN_00033084	
00033608	460	FUN_00033608	PTR_s_rd_00078218+6_000337d4,s_rd_00078218+6,PTR_s_para_addr:0x%lx_offset:%x_size:0_000337d8,s_para_addr:0x%lx_offset:%x_size:0_0007628d
00033958	392	FUN_00033958	s_kernel_0007542f,s_nand_erase_0x160000_0x300000_0007635a,s_fatload_mmc_0_0x1000000_zimage_00076377,s_nand_write_0x1000000_0x160000_0x_00076396
00033b18	156	FUN_00033b18	PTR_s_mmc0_is_not_insert!_00033bb4,s_mmc0_is_not_insert!_000765e4,PTR_s_mmc1_is_not_insert!_00033bb8,s_mmc1_is_not_insert!_000765fc
00033bc4	292	FUN_00033bc4	PTR_s_argc:%d_00033ce8,s_argc:%d_0007663c,PTR_s_mmcno:%d,_cmd:%d,_sector_no:%d_00033cec,s_mmcno:%d,_cmd:%d,_sector_no:%d_00076645
00034124	312	FUN_00034124	PTR_s_No_MMC_device_available_00034260,s_No_MMC_device_available_00076688,PTR_s_Device:_%s_00034264,s_Device:_%s_000767e0
00034318	144	FUN_00034318	
000343a8	64	FUN_000343a8	
000343e8	220	FUN_000343e8	
000344c8	432	FUN_000344c8	
00034678	676	FUN_00034678	
0003491c	64	FUN_0003491c	s_mmc/sd_device_is_NOT_founded._000768ea
00034960	88	FUN_00034960	s_mmc/sd_device_is_NOT_founded._000768ea
000349bc	128	FUN_000349bc	s_mmc/sd_device_is_NOT_founded._000768ea,s_Card_NOT_detected_or_Init_Failed_00076909
00034a44	148	FUN_00034a44	
00034ae8	376	FUN_00034ae8	s__0007d8d9+0x17,s_partion_#_size(MB)_block_start_#_0007692d,s_1_%6d_%8d_%8d_0x%.2X_00076976,s_2_%6d_%8d_%8d_0x%.2X_000769af
00034d94	28	FUN_00034d94	
00034db0	104	FUN_00034db0	
00034e18	56	FUN_00034e18	
00034e50	68	FUN_00034e50	
